Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Apartment,3 BHK,Osman Nagar Hyderabad,2280 sqft,Ready to Move,10 out of 15,Unfurnished,West,Resale,"₹7,456 per sqft"
,Apartment,2 BHK,Puppalguda Hyderabad,902 sqft,Poss. by Oct '26,27 out of 36,Unfurnished,East,New Property,"₹10,646 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,930 sqft,Ready to Move,9 out of 40,Unfurnished,East,Resale,"₹8,130 per sqft"
,Apartment,2 BHK,Serilingampalle M Hyderabad,1537 sqft,Ready to Move,15 out of 50,Unfurnished,West,Resale,"₹9,434 per sqft"
,Apartment,3 BHK,Alwal Hyderabad,1545 sqft,Poss. by Sep '26,3 out of 5,Unfurnished,East,Resale,"₹4,515 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2550 sqft,Ready to Move,2 out of 19,Unfurnished,West,Resale,"₹10,588 per sqft"
,Apartment,3 BHK,Kukatpally,1661 sqft,Poss. by Sep '26,32 out of 33,Unfurnished,North - East,Resale,"₹8,429 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1905 sqft,,34 out of 36,Unfurnished,East,Resale,"₹12,000 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1128 sqft,Ready to Move,22 out of 32,Unfurnished,West,Resale,"₹12,722 per sqft"
,Apartment,2 BHK,Hyder Nagar,1345 sqft,Ready to Move,10 out of 14,Unfurnished,West,Resale,"₹10,037 per sqft"
,Villa,4 BHK,Tellapur,3005 sqft,Ready to Move,,Unfurnished,East,Resale,"₹12,646 per sqft"
,Apartment,3 BHK,LB Nagar,1535 sqft,Ready to Move,5 out of 13,Unfurnished,East,Resale,"₹7,166 per sqft"
,House,3 BHK,Medchal Hyderabad,,Ready to Move,,Semi-Furnished,North,Resale,"₹4,444 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1520 sqft,Ready to Move,15 out of 32,Unfurnished,East,Resale,"₹13,292 per sqft"
,Apartment,2 BHK,Alkapur Township,1446 sqft,Ready to Move,12 out of 16,Unfurnished,West,Resale,"₹7,953 per sqft"
,Apartment,3 BHK,Nagole Hyderabad,1840 sqft,,6 out of 8,Unfurnished,West,Resale,"₹6,793 per sqft"
,Apartment,2 BHK,Abhudaya Nagar Colony,1405 sqft,Ready to Move,3 out of 15,Unfurnished,,Resale,"₹6,975 per sqft"
,Apartment,3 BHK,Nagole Hyderabad,1650 sqft,Ready to Move,3 out of 7,Unfurnished,,New Property,"₹6,643 per sqft"
,Villa,5 BHK,Hitech City Hyderabad,3600 sqft,Poss. by Jul '27,,Unfurnished,East,New Property,"₹12,083 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1785 sqft,Ready to Move,3 out of 5,Furnished,East,Resale,
,Apartment,3 BHK,Financial District,2220 sqft,Ready to Move,14 out of 39,Unfurnished,West,Resale,"₹11,261 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1350 sqft,Ready to Move,10 out of 34,Unfurnished,East,Resale,"₹10,137 per sqft"
,Apartment,2 BHK,Osman Nagar Hyderabad,1357 sqft,Ready to Move,15 out of 22,Unfurnished,East,Resale,"₹9,948 per sqft"
,Apartment,3 BHK,Khajaguda Hyderabad,1500 sqft,Ready to Move,12 out of 12,Semi-Furnished,East,Resale,"₹7,485 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1275 sqft,Ready to Move,7 out of 26,Semi-Furnished,East,Resale,"₹12,042 per sqft"
,Apartment,3 BHK,Bandari Layout Hyderabad,1540 sqft,Ready to Move,3 out of 5,Furnished,North - East,Resale,"₹5,999 per sqft"
,Apartment,2 BHK,HUDA Layout Nalagandla Hyderabad,798 sqft,Ready to Move,26 out of 26,Unfurnished,,Resale,"₹14,113 per sqft"
,Apartment,3 BHK,Miyapur,1360 sqft,Ready to Move,31 out of 47,Unfurnished,West,New Property,"₹8,767 per sqft"
,Apartment,3 BHK,Uppal,1505 sqft,Poss. by Aug '26,7 out of 14,,East,Resale,"₹11,628 per sqft"
,Apartment,3 BHK,Hitech City Hyderabad,2270 sqft,,25 out of 32,Unfurnished,West,Resale,"₹11,013 per sqft"
,Villa,4 BHK,Kollur,3792 sqft,Ready to Move,,Unfurnished,East,Resale,"₹11,076 per sqft"
,Apartment,5 BHK,Serilingampalle M Hyderabad,5136 sqft,Ready to Move,38 out of 40,Unfurnished,East,Resale,"₹11,538 per sqft"
,Apartment,3 BHK,Financial District,1556 sqft,Ready to Move,7 out of 39,Unfurnished,West,New Property,"₹11,036 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,1965 sqft,Poss. by Dec '26,5 out of 5,Unfurnished,North,Resale,"₹4,987 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1712 sqft,,6 out of 34,Unfurnished,North,Resale,"₹12,500 per sqft"
,Apartment,2 BHK,Puppalguda Hyderabad,1326 sqft,Ready to Move,18 out of 35,Unfurnished,East,Resale,
,Apartment,2 BHK,Patancheruvu Hyderabad,1170 sqft,Ready to Move,4 out of 5,Unfurnished,West,Resale,"₹4,359 per sqft"
,Villa,4 BHK,Financial District,5500 sqft,Ready to Move,,Unfurnished,West,New Property,"₹30,909 per sqft"
,Apartment,2 BHK,Patancheruvu Hyderabad,910 sqft,Poss. by Nov '26,3 out of 5,Unfurnished,West,Resale,"₹6,174 per sqft"
,Apartment,3 BHK,Jaya Prakash Narayan Nagar Hyderabad,1688 sqft,Ready to Move,25 out of 48,Unfurnished,East,Resale,"₹9,834 per sqft"
,Apartment,4 BHK,Bachupally Hyderabad,1274 sqft,Ready to Move,33 out of 33,Unfurnished,East,New Property,"₹9,143 per sqft"
,Apartment,2 BHK,Osman Nagar Hyderabad,1140 sqft,Ready to Move,6 out of 9,Unfurnished,West,Resale,"₹8,400 per sqft"
,Apartment,3 BHK,Serilingampalle M Hyderabad,1794 sqft,,6 out of 19,Semi-Furnished,West,Resale,"₹7,525 per sqft"
,Apartment,2 BHK,Narsingi,1250 sqft,Ready to Move,1 out of 5,Semi-Furnished,East,Resale,"₹7,819 per sqft"
,Apartment,3 BHK,Shaikpet Hyderabad,1495 sqft,Ready to Move,11 out of 18,Semi-Furnished,West,Resale,"₹14,047 per sqft"
,Apartment,4 BHK,Kondapur Hyderabad,2500 sqft,Ready to Move,5 out of 5,Furnished,,Resale,"₹8,594 per sqft"
,Apartment,3 BHK,Shaikpet Hyderabad,1571 sqft,Ready to Move,5 out of 5,Semi-Furnished,West,Resale,"₹8,275 per sqft"
,Apartment,2 BHK,Gajularamaram Hyderabad,1090 sqft,Ready to Move,6 out of 7,Furnished,North - East,New Property,"₹7,609 per sqft"
,Apartment,3 BHK,Mallampet,1550 sqft,Ready to Move,3 out of 5,Semi-Furnished,East,Resale,"₹5,290 per sqft"
,Villa,4 BHK,Kollur,4255 sqft,Ready to Move,,Unfurnished,West,Resale,"₹15,600 per sqft"
,Apartment,2 BHK,AS Rao Nagar Hyderabad,1053 sqft,Ready to Move,4 out of 5,Unfurnished,East,Resale,"₹4,000 per sqft"
,Apartment,3 BHK,P Janardhan Reddy Nagar,2300 sqft,Ready to Move,1 out of 19,Semi-Furnished,East,Resale,"₹10,581 per sqft"
,Apartment,3 BHK,Kollur,1600 sqft,Ready to Move,9 out of 14,Unfurnished,West,Resale,"₹6,353 per sqft"
,Apartment,3 BHK,Kakatiya Hills Kavuri Hills Hyderabad,1400 sqft,Ready to Move,2 out of 4,Semi-Furnished,South,Resale,"₹9,517 per sqft"
,Apartment,3 BHK,Narsingi,1800 sqft,Ready to Move,29 out of 30,Semi-Furnished,East,Resale,"₹13,086 per sqft"
,Apartment,3 BHK,Nizampet Hyderabad,1480 sqft,Ready to Move,1 out of 5,Semi-Furnished,West,Resale,"₹7,619 per sqft"
,Apartment,3 BHK,Lingampally Serilingampalle Hyderabad,1605 sqft,Ready to Move,23 out of 50,Unfurnished,West,Resale,"₹8,972 per sqft"
,Apartment,2 BHK,Puppalguda Hyderabad,1250 sqft,Ready to Move,5 out of 5,Semi-Furnished,North,Resale,"₹10,000 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1700 sqft,Ready to Move,8 out of 31,Unfurnished,East,Resale,"₹14,786 per sqft"
,Apartment,3 BHK,Malkajgiri Hyderabad,1100 sqft,Ready to Move,4 out of 4,Unfurnished,North - East,Resale,"₹3,167 per sqft"
,Apartment,3 BHK,Moti Nagar Erragadda Hyderabad,1542 sqft,Ready to Move,6 out of 15,Furnished,East,Resale,"₹11,712 per sqft"
,Apartment,2 BHK,Bowrampet,1275 sqft,Ready to Move,3 out of 10,Unfurnished,West,Resale,"₹5,490 per sqft"
,Apartment,2 BHK,Basti Nabi Kareem Hyderabad,1016 sqft,Ready to Move,1 out of 5,Semi-Furnished,North,Resale,"₹7,310 per sqft"
,Villa,4 BHK,Kapra Hyderabad,2844 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹9,845 per sqft"
,Apartment,2 BHK,Rethibowli,810 sqft,Ready to Move,2 out of 5,Unfurnished,South,Resale,"₹5,000 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1945 sqft,Ready to Move,21 out of 28,Unfurnished,East,Resale,"₹9,512 per sqft"
,Apartment,3 BHK,Chanda Nagar Hyderabad,1650 sqft,Ready to Move,3 out of 12,Unfurnished,East,Resale,"₹8,000 per sqft"
,Apartment,3 BHK,Quthbullapur,1796 sqft,Ready to Move,4 out of 6,Unfurnished,West,New Property,"₹5,750 per sqft"
,Villa,5 BHK,Gandipet Hyderabad,4700 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹27,800 per sqft"
,Villa,4 BHK,Shankarpally Road Hyderabad,4505 sqft,Ready to Move,,Unfurnished,East,New Property,"₹11,000 per sqft"
,Villa,4 BHK,Narsinghi Hyderabad,3650 sqft,Ready to Move,,Unfurnished,West,New Property,"₹21,111 per sqft"
,Apartment,3 BHK,Financial District,2700 sqft,Ready to Move,5 out of 14,Unfurnished,West,Resale,"₹10,556 per sqft"
,Apartment,2 BHK,Pragathi Nagar,1103 sqft,Poss. by Jan '27,3 out of 5,Semi-Furnished,West,New Property,"₹6,249 per sqft"
,Villa,5 BHK,Tellapur,5400 sqft,Poss. by Dec '26,,Unfurnished,East,Resale,"₹14,630 per sqft"
,Apartment,2 BHK,Gundlapochampalli Hyderabad,990 sqft,Poss. by Jun '28,5 out of 13,Unfurnished,East,New Property,"₹6,200 per sqft"
,Apartment,2 BHK,Anand Nagar Colony Kondapur Hyderabad,1161 sqft,Ready to Move,4 out of 5,Semi-Furnished,West,Resale,"₹7,752 per sqft"
,Apartment,2 BHK,Adibatla Hyderabad,760 sqft,Ready to Move,3 out of 8,Unfurnished,East,Resale,"₹3,539 per sqft"
,Villa,3 BHK,Kowkoor Hyderabad,,Ready to Move,,Furnished,North,Resale,"₹9,503 per sqft"
,Apartment,3 BHK,Kollur,1790 sqft,Poss. by Jun '29,10 out of 35,Unfurnished,East,New Property,"₹4,749 per sqft"
,House,2 BHK,Beeramguda Main Road Hyderabad,1250 sqft,Ready to Move,Ground out of 1,Unfurnished,West,New Property,
,Apartment,2 BHK,Puppalguda Hyderabad,1050 sqft,Poss. by Nov '26,3 out of 5,Semi-Furnished,West,New Property,"₹6,000 per sqft"
,House,3 BHK,Kokapet,1798 sqft,Poss. by Aug '30,,Unfurnished,,New Property,"₹9,316 per sqft"
,Apartment,3 BHK,Tellapur,2083 sqft,Ready to Move,7 out of 9,Furnished,,Resale,"₹10,082 per sqft"
,Villa,3 BHK,Mokila Hyderabad,2400 sqft,Ready to Move,,Furnished,,Resale,"₹15,625 per sqft"
,Apartment,3 BHK,Gundlapochampally,1182 sqft,Ready to Move,10 out of 15,Furnished,,Resale,"₹10,064 per sqft"
,House,3 BHK,Kowkoor Hyderabad,2850 sqft,Ready to Move,,Unfurnished,West,New Property,"₹4,833 per sqft"
,Apartment,3 BHK,Kompally Hyderabad,2000 sqft,Ready to Move,2 out of 6,Furnished,,Resale,
,Apartment,2 BHK,Kutbi Guda,739 sqft,Ready to Move,7 out of 10,Unfurnished,North,Resale,"₹5,000 per sqft"
,House,7 BHK,Kistamma Enclave Hyderabad,2000 sqft,Ready to Move,,Unfurnished,East,Resale,"₹14,787 per sqft"
,Apartment,2 BHK,Peerzadiguda,1030 sqft,Ready to Move,4 out of 5,Semi-Furnished,,Resale,"₹6,626 per sqft"
,Apartment,3 BHK,Sun City,1400 sqft,Ready to Move,3 out of 5,Unfurnished,East,Resale,"₹5,733 per sqft"
,Apartment,3 BHK,Kousalya Colony Hyderabad,1540 sqft,Ready to Move,2 out of 4,Unfurnished,West,Resale,"₹5,195 per sqft"
,Apartment,3 BHK,LB Nagar,2300 sqft,Ready to Move,2 out of 4,Unfurnished,East,Resale,"₹6,207 per sqft"
,Apartment,3 BHK,Gajularamaram Hyderabad,1400 sqft,Ready to Move,2 out of 5,Semi-Furnished,,Resale,"₹5,552 per sqft"
,Apartment,3 BHK,Moti Nagar Erragadda Hyderabad,1250 sqft,Ready to Move,,Semi-Furnished,,Resale,"₹7,120 per sqft"
,House,4 BHK,Nizampet Hyderabad,,Ready to Move,,Unfurnished,,Resale,"₹14,781 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,2365 sqft,Ready to Move,3 out of 20,Semi-Furnished,,Resale,"₹10,994 per sqft"
,Apartment,2 BHK,Saleem Nagar Colony Hyderabad,900 sqft,Ready to Move,3 out of 5,Semi-Furnished,East,Resale,"₹5,949 per sqft"
,Villa,3 BHK,Indresham,1710 sqft,Ready to Move,,Furnished,,Resale,"₹6,725 per sqft"
,Villa,4 BHK,Khajaguda Hyderabad,4500 sqft,Ready to Move,,Unfurnished,West,Resale,"₹25,896 per sqft"
,Apartment,2 BHK,Adarsh Nagar Uppal Hyderabad,1190 sqft,Ready to Move,4 out of 5,Unfurnished,East,New Property,"₹6,608 per sqft"
,Apartment,3 BHK,modi platimum hyderabad Hyderabad,1500 sqft,Ready to Move,Upper Basement out of 10,Furnished,,Resale,"₹7,333 per sqft"
,House,2 BHK,Lingojiguda Saroornagar Hyderabad,,Ready to Move,,Unfurnished,East,Resale,"₹13,484 per sqft"
,House,6 BHK,Gajularamaram Hyderabad,3808 sqft,Ready to Move,,Furnished,West,Resale,"₹5,978 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1865 sqft,Ready to Move,2 out of 5,Semi-Furnished,West,Resale,"₹9,008 per sqft"
,Apartment,3 BHK,Gangaram Chanda Nagar Hyderabad,1521 sqft,Ready to Move,3 out of 5,Unfurnished,East,Resale,"₹7,688 per sqft"
,Apartment,3 BHK,BN Reddy Nagar Hyderabad,1900 sqft,Ready to Move,2 out of 4,Unfurnished,North,Resale,"₹5,500 per sqft"
,Villa,4 BHK,Patancheruvu Hyderabad,2520 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹9,048 per sqft"
,Apartment,4 BHK,Banjara Hills,2000 sqft,Ready to Move,3 out of 5,Semi-Furnished,,Resale,
,Villa,3 BHK,Shadnagar Hyderabad,1550 sqft,Ready to Move,,Semi-Furnished,,Resale,
,Apartment,3 BHK,Whitefields Hyderabad,1247 sqft,Ready to Move,2 out of 8,Semi-Furnished,East,Resale,"₹10,160 per sqft"
,Builder Floor,2 BHK,Gaman residency,925 sqft,Ready to Move,1 out of 5,Semi-Furnished,,Resale,"₹5,946 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1981 sqft,Ready to Move,3 out of 15,Unfurnished,East,New Property,"₹11,106 per sqft"
,Apartment,3 BHK,Shaikpet Hyderabad,1990 sqft,Ready to Move,7 out of 22,Unfurnished,,Resale,"₹10,553 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1674 sqft,Ready to Move,Ground out of 14,Semi-Furnished,East,Resale,"₹12,443 per sqft"
,Apartment,2 BHK,Pocharam,1100 sqft,Ready to Move,13 out of 14,Unfurnished,East,Resale,"₹5,725 per sqft"
,Apartment,3 BHK,Hitech City Hyderabad,2100 sqft,Ready to Move,30 out of 31,Unfurnished,,Resale,"₹11,429 per sqft"
,Villa,3 BHK,Mokila Hyderabad,2250 sqft,Ready to Move,,Unfurnished,East,New Property,"₹13,117 per sqft"
,Apartment,2 BHK,Badangpet Hyderabad,950 sqft,Ready to Move,2 out of 3,Unfurnished,West,Resale,"₹5,300 per sqft"
,Apartment,2 BHK,Kowkoor Hyderabad,925 sqft,Ready to Move,3 out of 5,Semi-Furnished,West,Resale,"₹3,568 per sqft"
,Villa,4 BHK,Narsingi,4572 sqft,Poss. by Jun '27,,Unfurnished,East,Resale,"₹28,434 per sqft"
,Apartment,3 BHK,Block C Sri Ramnagar Hyderabad,1800 sqft,Ready to Move,22 out of 29,Unfurnished,West,Resale,"₹9,647 per sqft"
