Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Apartment,2 BHK,Bachupally Hyderabad,1181 sqft,Ready to Move,Ground out of 6,Furnished,West,Resale,"₹8,383 per sqft"
,Apartment,3 BHK,Shaikpet Hyderabad,1572 sqft,Ready to Move,13 out of 14,Unfurnished,West,Resale,"₹11,624 per sqft"
,Villa,4 BHK,Kondapur Hyderabad,2800 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹14,789 per sqft"
,Apartment,2 BHK,Bandlaguda Jagir Hyderabad,1550 sqft,Ready to Move,2 out of 14,Semi-Furnished,East,Resale,"₹7,165 per sqft"
,Apartment,4 BHK,Izzathnagar Hyderabad,2650 sqft,Ready to Move,2 out of 40,Furnished,North - East,Resale,"₹16,667 per sqft"
,Apartment,2 BHK,AS Rao Nagar Hyderabad,1012 sqft,Ready to Move,8 out of 25,Semi-Furnished,West,Resale,"₹4,990 per sqft"
,Apartment,3 BHK,Doctors Colony Madhapur Hyderabad,1950 sqft,Ready to Move,2 out of 6,Furnished,East,New Property,"₹10,532 per sqft"
,Apartment,3 BHK,Narsingi,1800 sqft,Ready to Move,18 out of 18,Semi-Furnished,East,Resale,"₹12,064 per sqft"
,Apartment,3 BHK,Hayathnagar Khalsa Hyderabad,1800 sqft,Ready to Move,1 out of 4,Unfurnished,North,Resale,"₹5,244 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1760 sqft,Ready to Move,5 out of 10,Semi-Furnished,East,Resale,"₹9,773 per sqft"
,Apartment,2 BHK,Vijaya Nagar Colony Hyderabad,1200 sqft,Ready to Move,2 out of 4,Furnished,North - East,Resale,"₹7,200 per sqft"
,Apartment,3 BHK,Osman Nagar Hyderabad,1400 sqft,Ready to Move,3 out of 18,Unfurnished,East,Resale,"₹8,878 per sqft"
